RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;PREMIER ROMAN;9782246831983;Adieu Tanger- Grand Format;Salma El Moumni;Romans français;F;Grasset;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/adieu-tanger-9782246831983.html;['Livres', 'Littérature', 'Romans'];18,00 €;Ebook12,99 €;https://products-images.di-static.com/image/salma-el-moumni-adieu-tanger/9782246831983-475x500-1.webp 1x,https://products-images.di-static.com/image/salma-el-moumni-adieu-tanger/9782246831983-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Grasset|ISBN|978-2-246-83198-3|EAN|9782246831983|Format|Grand Format|Présentation|Broché|Nb. de pages|180 pages|Poids|0.184 Kg|Dimensions|12,1 cm × 18,5 cm × 1,5 cm;978-2-246-83198-3;Grand Format;Broché;180 pages;0.184 Kg;12,1 cm × 18,5 cm × 1,5 cm;
RL;NON;9782824622439;Le journal de ma vie- Grand Format;Kate Clayborn;Romans étrangers;F;City Editions;ETATS-UNIS;AMERIQUE DU NORD;ANGLAIS;Raphaëlle O'Brien;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/le-journal-de-ma-vie-9782824622439.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/kate-clayborn-le-journal-de-ma-vie/9782824622439-475x500-1.webp 1x,https://products-images.di-static.com/image/kate-clayborn-le-journal-de-ma-vie/9782824622439-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|City Editions|Collection|Romans|ISBN|978-2-8246-2243-9|EAN|9782824622439|Format|Grand Format|Présentation|Broché|Nb. de pages|397 pages|Poids|0.44 Kg|Dimensions|14,7 cm × 22,5 cm × 2,7 cm;978-2-8246-2243-9;Grand Format;Broché;397 pages;0.44 Kg;14,7 cm × 22,5 cm × 2,7 cm;Romans
;;9782290393017;Slammed  - Tome 1, Sans regret- Grand Format;Colleen Hoover;;;J'ai lu;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/slammed-9782290393017.html;['Livres', 'Littérature', 'Romans'];18,50 €;Ebook12,99 €;https://products-images.di-static.com/image/colleen-hoover-slammed/9782290393017-45x70-1.webp 1x,https://products-images.di-static.com/image/colleen-hoover-slammed/9782290393017-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|J'ai lu|ISBN|978-2-290-39301-7|EAN|9782290393017|Format|Grand Format|Présentation|Broché|Nb. de pages|320 pages|Poids|0.3 Kg|Dimensions|13,1 cm × 19,1 cm × 2,4 cm;978-2-290-39301-7;Grand Format;Broché;320 pages;0.3 Kg;13,1 cm × 19,1 cm × 2,4 cm;
RL;NON;9782382846469;Ecume- Grand Format;Véronique Bergen;Romans français;F;Equateurs;FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/ecume-9782382846469.html;['Livres', 'Littérature', 'Romans'];21,90 €;Ebook14,99 €;https://products-images.di-static.com/image/veronique-bergen-ecume/9782382846469-45x70-1.webp 1x,https://products-images.di-static.com/image/veronique-bergen-ecume/9782382846469-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Equateurs|ISBN|978-2-38284-646-9|EAN|9782382846469|Format|Grand Format|Présentation|Broché|Nb. de pages|407 pages|Poids|0.45 Kg|Dimensions|14,0 cm × 20,5 cm × 2,6 cm;978-2-38284-646-9;Grand Format;Broché;407 pages;0.45 Kg;14,0 cm × 20,5 cm × 2,6 cm;
;;9782743660482;Père éperdu- Grand Format;Daniel Gustafsson;;;Rivages;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/pere-eperdu-9782743660482.html;['Livres', 'Littérature', 'Romans'];21,00 €;pas de prix ebook;https://products-images.di-static.com/image/daniel-gustafsson-pere-eperdu/9782743660482-475x500-1.webp 1x;Date de parution|30/08/2023|Editeur|Rivages|ISBN|978-2-7436-6048-2|EAN|9782743660482|Format|Grand Format|Présentation|Broché|Nb. de pages|240 pages|Poids|0.302 Kg|Dimensions|13,9 cm × 20,4 cm × 2,0 cm;978-2-7436-6048-2;Grand Format;Broché;240 pages;0.302 Kg;13,9 cm × 20,4 cm × 2,0 cm;
;;9782322499465;L'avion vient d'Afrique- Grand Format;Patrick Lushima Utshudiema;;;Books on Demand;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/l-avion-vient-d-afrique-9782322499465.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-l-avion-vient-d-afrique/9782322499465-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-l-avion-vient-d-afrique/9782322499465-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Books on Demand|ISBN|978-2-322-49946-5|EAN|9782322499465|Format|Grand Format|Présentation|Broché|Nb. de pages|196 pages|Poids|0.214 Kg|Dimensions|12,0 cm × 19,0 cm × 1,3 cm;978-2-322-49946-5;Grand Format;Broché;196 pages;0.214 Kg;12,0 cm × 19,0 cm × 1,3 cm;
;;9791032922842;Une vie de cinéma- Grand Format;Jean-Louis Livi;;;Observatoire (Editions de l');;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/une-vie-de-cinema-9791032922842.html;['Livres', 'Littérature', 'Romans'];24,00 €;pas de prix ebook;https://products-images.di-static.com/image/dominique-besnehard-artmedia/9782290388594-200x303-1.webp 1x,https://products-images.di-static.com/image/dominique-besnehard-artmedia/9782290388594-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Observatoire (Editions de l')|ISBN|979-10-329-2284-2|EAN|9791032922842|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;979-10-329-2284-2;Grand Format;Broché;;0.001 Kg;;
;;9782382844823;Mon grand tour- Grand Format;Samuel Adrian;;;Equateurs;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/mon-grand-tour-9782382844823.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/samuel-adrian-une-annee-sur-la-route/9782382843413-200x303-2.webp 2x,https://products-images.di-static.com/image/samuel-adrian-une-annee-sur-la-route/9782382843413-200x303-1.webp 1x;Date de parution|30/08/2023|Editeur|Equateurs|ISBN|978-2-38284-482-3|EAN|9782382844823|Format|Grand Format|Présentation|Broché;978-2-38284-482-3;Grand Format;Broché;;;;
;;9791096739141;Emma- Grand Format;Jane Austen;;;Tibert;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/emma-9791096739141.html;['Livres', 'Littérature', 'Romans'];35,00 €;pas de prix ebook;https://products-images.di-static.com/image/jane-austen-orgueil-et-prejuges-texte-abrege/9782013231541-200x303-1.webp 1x,https://products-images.di-static.com/image/jane-austen-orgueil-et-prejuges-texte-abrege/9782013231541-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Tibert|Collection|Romans illustrés|ISBN|979-10-96739-14-1|EAN|9791096739141|Format|Grand Format|Présentation|Relié|Nb. de pages|576 pages|Poids|1 Kg|Dimensions|17,8 cm × 24,8 cm × 4,0 cm;979-10-96739-14-1;Grand Format;Relié;576 pages;1 Kg;17,8 cm × 24,8 cm × 4,0 cm;Romans illustrés
;;9782406158202;Les 7 livres de Diane- Grand Format;Jorge de Montemayor;;;Classiques Garnier;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-7-livres-de-diane-9782406158202.html;['Livres', 'Littérature', 'Romans'];35,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-1.webp 1x,https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Textes de la Renaissance|ISBN|978-2-406-15820-2|EAN|9782406158202|Format|Grand Format|Présentation|Broché|Nb. de pages|276 pages;978-2-406-15820-2;Grand Format;Broché;276 pages;;;Textes de la Renaissance
;;9782812455988;Les 7 livres de Diane- Grand Format;Jorge de Montemayor;;;Classiques Garnier;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-7-livres-de-diane-9782812455988.html;['Livres', 'Littérature', 'Romans'];84,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-1.webp 1x,https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Textes de la Renaissance|ISBN|978-2-8124-5598-8|EAN|9782812455988|Format|Grand Format|Présentation|Relié|Nb. de pages|276 pages;978-2-8124-5598-8;Grand Format;Relié;276 pages;;;Textes de la Renaissance
RL;NON;9791030801040;Les Corps flottants- Grand Format;Mikaël Hirsch;Romans français;M;Dilettante (Le);FRANCE;EUROPE;VF;-;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/les-corps-flottants-9791030801040.html;['Livres', 'Littérature', 'Romans'];21,00 €;Ebook10,49 €;https://products-images.di-static.com/image/mikael-hirsch-les-corps-flottants/9791030801057-70x95-1.webp 1x,https://products-images.di-static.com/image/mikael-hirsch-les-corps-flottants/9791030801057-70x95-2.webp 2x;Date de parution|30/08/2023|Editeur|Dilettante (Le)|ISBN|979-10-308-0104-0|EAN|9791030801040|Format|Grand Format|Présentation|Broché|Nb. de pages|256 pages|Poids|0.336 Kg|Dimensions|14,0 cm × 20,6 cm × 2,2 cm;979-10-308-0104-0;Grand Format;Broché;256 pages;0.336 Kg;14,0 cm × 20,6 cm × 2,2 cm;
;;9782406148487;Un Shtetl suivi de Père et fils- Grand Format;Isaac Meir Weissenberg;;;Classiques Garnier;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livres/un-shtetl-suivi-de-pere-et-fils-9782406148487.html;['Livres', 'Littérature', 'Romans'];22,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-1.webp 1x,https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Littérature, histoire, politiq|ISBN|978-2-406-14848-7|EAN|9782406148487|Format|Grand Format|Présentation|Broché|Nb. de pages|136 pages|Poids|0.19 Kg|Dimensions|15,0 cm × 22,0 cm × 0,8 cm;978-2-406-14848-7;Grand Format;Broché;136 pages;0.19 Kg;15,0 cm × 22,0 cm × 0,8 cm;Littérature, histoire, politiq
;;9782406148494;Un Shtetl suivi de Père et fils- Grand Format;Isaac Meir Weissenberg;;;Classiques Garnier;;;;;2023-08-30 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/un-shtetl-suivi-de-pere-et-fils-9782406148494.html;['Livres', 'Littérature', 'Romans'];69,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-1.webp 1x,https://products-images.di-static.com/image/sodis-recits-yiddish/9782812435225-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Littérature, histoire, politiq|ISBN|978-2-406-14849-4|EAN|9782406148494|Format|Grand Format|Présentation|Relié|Nb. de pages|136 pages|Poids|1.401 Kg;978-2-406-14849-4;Grand Format;Relié;136 pages;1.401 Kg;;Littérature, histoire, politiq
;;9782754763967;Deux vies  - Ou de l'inégalité des chances- Grand Format;Robert Naggar;;;Panthéon (Les éditions du);;;;;2023-08-29 00:00:00;August;2023.0;https://www.decitre.fr/livre-pod/deux-vies-9782754763967.html;['Livres', 'Littérature', 'Romans'];20,90 €;Ebook12,99 €;https://products-images.di-static.com/image/hachette-deux-vies/9782754763967-45x70-1.webp 1x,https://products-images.di-static.com/image/hachette-deux-vies/9782754763967-45x70-2.webp 2x;Date de parution|29/08/2023|Editeur|Panthéon (Les éditions du)|ISBN|978-2-7547-6396-7|EAN|9782754763967|Format|Grand Format|Présentation|Broché|Nb. de pages|216 pages|Poids|0.23 Kg|Dimensions|13,3 cm × 20,3 cm × 0,0 cm;978-2-7547-6396-7;Grand Format;Broché;216 pages;0.23 Kg;13,3 cm × 20,3 cm × 0,0 cm;
RL;PREMIER ROMAN;9782812204524;Insurrection- Grand Format;Anthony Samama;Romans français;M;Ramsay;FRANCE;EUROPE;VF;-;2023-08-29 00:00:00;August;2023.0;https://www.decitre.fr/livres/insurrection-9782812204524.html;['Livres', 'Littérature', 'Romans'];19,00 €;Ebook12,99 €;https://products-images.di-static.com/image/anthony-samama-insurrection/9782812204524-45x70-1.webp 1x,https://products-images.di-static.com/image/anthony-samama-insurrection/9782812204524-45x70-2.webp 2x;Date de parution|29/08/2023|Editeur|Ramsay|ISBN|978-2-8122-0452-4|EAN|9782812204524|Format|Grand Format|Présentation|Broché|Nb. de pages|211 pages|Poids|0.3 Kg|Dimensions|14,0 cm × 22,5 cm × 1,8 cm;978-2-8122-0452-4;Grand Format;Broché;211 pages;0.3 Kg;14,0 cm × 22,5 cm × 1,8 cm;
RL;NON;9782812204531;Dans l'ombre enseveli- Grand Format;Olivier Miquel;Romans français;M;Ramsay;FRANCE;EUROPE;VF;-;2023-08-29 00:00:00;August;2023.0;https://www.decitre.fr/livres/dans-l-ombre-enseveli-9782812204531.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/olivier-miquel-dans-l-ombre-enseveli/9782812204531-475x500-1.webp 1x,https://products-images.di-static.com/image/olivier-miquel-dans-l-ombre-enseveli/9782812204531-475x500-2.webp 2x;Date de parution|29/08/2023|Editeur|Ramsay|ISBN|978-2-8122-0453-1|EAN|9782812204531|Format|Grand Format|Présentation|Broché|Nb. de pages|200 pages|Poids|0.37 Kg|Dimensions|14,0 cm × 22,5 cm × 2,1 cm;978-2-8122-0453-1;Grand Format;Broché;200 pages;0.37 Kg;14,0 cm × 22,5 cm × 2,1 cm;
RL;NON;9782385290337;Dans la forêt des larmes- Grand Format;Glendy Vanderah;Romans étrangers;F;Charleston éditions;ETATS-UNIS;EUROPE;ANGLAIS;Laura Bourgeois;2023-08-29 00:00:00;August;2023.0;https://www.decitre.fr/livres/dans-la-foret-des-larmes-9782385290337.html;['Livres', 'Littérature', 'Romans'];22,90 €;Ebook14,99 €;https://products-images.di-static.com/image/glendy-vanderah-dans-la-foret-des-larmes/9782385290337-45x70-1.webp 1x,https://products-images.di-static.com/image/glendy-vanderah-dans-la-foret-des-larmes/9782385290337-45x70-2.webp 2x;Date de parution|29/08/2023|Editeur|Charleston éditions|ISBN|978-2-38529-033-7|EAN|9782385290337|Format|Grand Format|Présentation|Broché|Nb. de pages|528 pages|Poids|0.745 Kg|Dimensions|15,0 cm × 23,0 cm × 4,8 cm;978-2-38529-033-7;Grand Format;Broché;528 pages;0.745 Kg;15,0 cm × 23,0 cm × 4,8 cm;
;;9782874898877;La grande profondeur- Grand Format;Catherine Barreau;;;Weyrich Edition;;;;;2023-08-29 00:00:00;August;2023.0;https://www.decitre.fr/livres/la-grande-profondeur-9782874898877.html;['Livres', 'Littérature', 'Romans'];9,50 €;pas de prix ebook;https://products-images.di-static.com/image/catherine-barreau-la-grande-profondeur/9782874898877-475x500-1.webp 1x,https://products-images.di-static.com/image/catherine-barreau-la-grande-profondeur/9782874898877-475x500-2.webp 2x;Date de parution|29/08/2023|Editeur|Weyrich Edition|Collection|La Traversée|ISBN|978-2-87489-887-7|EAN|9782874898877|Format|Grand Format|Présentation|Relié|Nb. de pages|84 pages|Poids|0.13 Kg|Dimensions|14,0 cm × 21,0 cm × 0,5 cm;978-2-87489-887-7;Grand Format;Relié;84 pages;0.13 Kg;14,0 cm × 21,0 cm × 0,5 cm;La Traversée
