RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;latitude;longitude;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;PREMIER ROMAN;9782080429803.0;Dès que sa bouche fut pleine- Grand Format;Juliette Oury;Romans français;F;Flammarion;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-23;August;2023.0;https://www.decitre.fr/livres/des-que-sa-bouche-fut-pleine-9782080429803.html;['Livres', 'Littérature', 'Romans'];19,00 €;13,99 €;https://products-images.di-static.com/image/juliette-oury-des-que-sa-bouche-fut-pleine/9782080429803-45x70-1.webp 1x,https://products-images.di-static.com/image/juliette-oury-des-que-sa-bouche-fut-pleine/9782080429803-45x70-2.webp 2x;Date de parution|23/08/2023|Editeur|Flammarion|ISBN|978-2-08-042980-3|EAN|9782080429803|Format|Grand Format|Présentation|Dos carré collé|Nb. de pages|266 pages|Poids|0.292 Kg|Dimensions|13,7 cm × 21,0 cm × 2,0 cm;978-2-08-042980-3;Grand Format;Dos carré collé;266 pages;0.292 Kg;13,7 cm × 21,0 cm × 2,0 cm;
RL;NON;9782234092358.0;Fille de Tunis- Grand Format;Olivia Elkaim;Romans français;F;Stock;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-23;August;2023.0;https://www.decitre.fr/livres/fille-de-tunis-9782234092358.html;['Livres', 'Littérature', 'Romans'];21,50 €;14,99 €;https://products-images.di-static.com/image/olivia-elkaim-fille-de-tunis/9782234092358-45x70-1.webp 1x,https://products-images.di-static.com/image/olivia-elkaim-fille-de-tunis/9782234092358-45x70-2.webp 2x;Date de parution|23/08/2023|Editeur|Stock|Collection|La Bleue|ISBN|978-2-234-09235-8|EAN|9782234092358|Format|Grand Format|Présentation|Broché|Nb. de pages|331 pages|Poids|0.352 Kg|Dimensions|13,5 cm × 21,5 cm × 2,3 cm;978-2-234-09235-8;Grand Format;Broché;331 pages;0.352 Kg;13,5 cm × 21,5 cm × 2,3 cm;La Bleue
RL;NON;9782234094901.0;Western- Grand Format;Maria Pourchet;Romans français;F;Stock;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-23;August;2023.0;https://www.decitre.fr/livres/western-9782234094901.html;['Livres', 'Littérature', 'Romans'];20,90 €;14,99 €;https://products-images.di-static.com/image/maria-pourchet-western/9782234094901-45x70-1.webp 1x,https://products-images.di-static.com/image/maria-pourchet-western/9782234094901-45x70-2.webp 2x;Date de parution|23/08/2023|Editeur|Stock|Collection|La Bleue|ISBN|978-2-234-09490-1|EAN|9782234094901|Format|Grand Format|Présentation|Broché|Nb. de pages|293 pages|Poids|0.324 Kg|Dimensions|13,5 cm × 21,5 cm × 2,0 cm;978-2-234-09490-1;Grand Format;Broché;293 pages;0.324 Kg;13,5 cm × 21,5 cm × 2,0 cm;La Bleue
RL;NON;9782226475015.0;L'épaisseur d'un cheveu- Grand Format;Claire Berest;Romans français;F;Albin Michel;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-23;August;2023.0;https://www.decitre.fr/livres/l-epaisseur-d-un-cheveu-9782226475015.html;['Livres', 'Littérature', 'Romans'];19,90 €;13,99 €;https://products-images.di-static.com/image/claire-berest-l-epaisseur-d-un-cheveu/9782226475015-45x70-1.webp 1x,https://products-images.di-static.com/image/claire-berest-l-epaisseur-d-un-cheveu/9782226475015-45x70-2.webp 2x;Date de parution|23/08/2023|Editeur|Albin Michel|ISBN|978-2-226-47501-5|EAN|9782226475015|Format|Grand Format|Présentation|Broché|Nb. de pages|240 pages|Poids|0.312 Kg|Dimensions|14,0 cm × 20,5 cm × 2,0 cm;978-2-226-47501-5;Grand Format;Broché;240 pages;0.312 Kg;14,0 cm × 20,5 cm × 2,0 cm;
;NAN;9782384547449.0;Un plat glacé- Grand Format;Elaji;;;Publishroom Factory;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livre-pod/un-plat-glace-9782384547449.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/publishroom-un-plat-glace/9782384547449-475x500-1.webp 1x,https://products-images.di-static.com/image/publishroom-un-plat-glace/9782384547449-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Publishroom Factory|ISBN|978-2-38454-744-9|EAN|9782384547449|Format|Grand Format|Présentation|Broché|Nb. de pages|270 pages|Poids|0.38 Kg|Dimensions|14,8 cm × 21,0 cm × 1,9 cm;978-2-38454-744-9;Grand Format;Broché;270 pages;0.38 Kg;14,8 cm × 21,0 cm × 1,9 cm;
;NAN;9782384548804.0;Jour atomique- Grand Format;William Mils;;;Publishroom Factory;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livre-pod/jour-atomique-9782384548804.html;['Livres', 'Littérature', 'Romans'];18,60 €;pas de prix ebook;https://products-images.di-static.com/image/publishroom-jour-atomique/9782384548804-475x500-1.webp 1x,https://products-images.di-static.com/image/publishroom-jour-atomique/9782384548804-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Publishroom Factory|ISBN|978-2-38454-880-4|EAN|9782384548804|Format|Grand Format|Présentation|Broché|Nb. de pages|266 pages|Poids|0.36 Kg|Dimensions|14,8 cm × 21,0 cm × 1,9 cm;978-2-38454-880-4;Grand Format;Broché;266 pages;0.36 Kg;14,8 cm × 21,0 cm × 1,9 cm;
;NAN;9791035996949.0;L'Acteur et l'Inconnue- Grand Format;Julie Baggio;;;Bookelis;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livre-pod/l-acteur-et-l-inconnue-9791035996949.html;['Livres', 'Littérature', 'Romans'];16,90 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-l-acteur-et-l-inconnue/9791035996949-475x500-1.webp 1x,https://products-images.di-static.com/image/hachette-l-acteur-et-l-inconnue/9791035996949-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Bookelis|ISBN|979-10-359-9694-9|EAN|9791035996949|Format|Grand Format|Présentation|Broché|Nb. de pages|260 pages|Poids|0.316 Kg|Dimensions|14,8 cm × 21,0 cm × 0,0 cm;979-10-359-9694-9;Grand Format;Broché;260 pages;0.316 Kg;14,8 cm × 21,0 cm × 0,0 cm;
;NAN;9782367345277.0;The visitants- Grand Format;Randolph Stow;;;Au Vent des Iles;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/the-visitants-9782367345277.html;['Livres', 'Littérature', 'Romans'];23,00 €;11,99 €;https://products-images.di-static.com/image/randolph-stow-the-visitants/9782367345277-45x70-1.webp 1x,https://products-images.di-static.com/image/randolph-stow-the-visitants/9782367345277-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Au Vent des Iles|ISBN|978-2-36734-527-7|EAN|9782367345277|Format|Grand Format|Présentation|Broché|Nb. de pages|280 pages|Poids|0.34 Kg|Dimensions|12,8 cm × 21,0 cm × 2,1 cm;978-2-36734-527-7;Grand Format;Broché;280 pages;0.34 Kg;12,8 cm × 21,0 cm × 2,1 cm;
;NAN;9782370712660.0;"La vipère  - Suivi de Manuscrit trouvé sous un lit ; Vendredi noir ; Mirage ; Les Villes bleues ; La Route ancienne- Grand Format";Alexei Konstantinovitch Tolstoi;;;Temps des Cerises (Le);NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/la-vipere-9782370712660.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/alexei-konstantinovitch-tolstoi-la-vipere/9782370712660-475x500-1.webp 1x,https://products-images.di-static.com/image/alexei-konstantinovitch-tolstoi-la-vipere/9782370712660-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Temps des Cerises (Le)|ISBN|978-2-37071-266-0|EAN|9782370712660|Format|Grand Format|Présentation|Broché|Nb. de pages|305 pages|Poids|0.35 Kg|Dimensions|14,2 cm × 19,4 cm × 2,2 cm;978-2-37071-266-0;Grand Format;Broché;305 pages;0.35 Kg;14,2 cm × 19,4 cm × 2,2 cm;
;NAN;9782764452219.0;Le Phénix- Grand Format;Marie-Anne Legault;;;Québec Amérique;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/le-phenix-9782764452219.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/marie-anne-legault-le-phenix/9782764452219-475x500-1.webp 1x,https://products-images.di-static.com/image/marie-anne-legault-le-phenix/9782764452219-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Québec Amérique|ISBN|978-2-7644-5221-9|EAN|9782764452219|Format|Grand Format|Présentation|Broché|Nb. de pages|341 pages|Poids|0.4 Kg|Dimensions|12,7 cm × 21,6 cm × 2,2 cm;978-2-7644-5221-9;Grand Format;Broché;341 pages;0.4 Kg;12,7 cm × 21,6 cm × 2,2 cm;
RL;NON;9782357071797.0;Le grand surplomb  - Retour au Mont Analogue- Grand Format;Edgar Melethy;Romans français;M;La fosse aux ours;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/le-grand-surplomb-9782357071797.html;['Livres', 'Littérature', 'Romans'];18,00 €;pas de prix ebook;https://products-images.di-static.com/image/edgar-melethy-le-grand-surplomb/9782357071797-475x500-1.webp 1x,https://products-images.di-static.com/image/edgar-melethy-le-grand-surplomb/9782357071797-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|La fosse aux ours|ISBN|978-2-35707-179-7|EAN|9782357071797|Format|Grand Format|Présentation|Broché|Nb. de pages|160 pages|Poids|0.165 Kg|Dimensions|13,1 cm × 20,5 cm × 1,0 cm;978-2-35707-179-7;Grand Format;Broché;160 pages;0.165 Kg;13,1 cm × 20,5 cm × 1,0 cm;
;NAN;9782897128807.0;Hors-sol- Grand Format;Philippe Yong;;;Mémoire d'Encrier;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/hors-sol-9782897128807.html;['Livres', 'Littérature', 'Romans'];20,00 €;8,99 €;https://products-images.di-static.com/image/philippe-yong-hors-sol/9782897128807-475x500-1.webp 1x,https://products-images.di-static.com/image/philippe-yong-hors-sol/9782897128807-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Mémoire d'Encrier|ISBN|978-2-89712-880-7|EAN|9782897128807|Format|Grand Format|Présentation|Broché|Nb. de pages|266 pages|Poids|0.29 Kg|Dimensions|13,2 cm × 19,8 cm × 2,1 cm;978-2-89712-880-7;Grand Format;Broché;266 pages;0.29 Kg;13,2 cm × 19,8 cm × 2,1 cm;
RL;NON;9791025205938.0;Le livre de Rose- Grand Format;Emmanuelle Favier;Romans français;F;Les Pérégrines;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/le-livre-de-rose-9791025205938.html;['Livres', 'Littérature', 'Romans'];20,00 €;14,99 €;https://products-images.di-static.com/image/emmanuelle-favier-le-livre-de-rose/9791025205938-45x70-1.webp 1x,https://products-images.di-static.com/image/emmanuelle-favier-le-livre-de-rose/9791025205938-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Les Pérégrines|Collection|Les audacieuses|ISBN|979-10-252-0593-8|EAN|9791025205938|Format|Grand Format|Présentation|Broché|Nb. de pages|301 pages|Poids|0.28 Kg|Dimensions|13,2 cm × 20,0 cm × 2,1 cm;979-10-252-0593-8;Grand Format;Broché;301 pages;0.28 Kg;13,2 cm × 20,0 cm × 2,1 cm;Les audacieuses
;NAN;9782918883029.0;Dans le train de ma vie- Grand Format;Jean-Pierre Biot;;;Noue Gavigné (Editions de la);NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/dans-le-train-de-ma-vie-9782918883029.html;['Livres', 'Littérature', 'Romans'];19,00 €;pas de prix ebook;https://products-images.di-static.com/image/jean-pierre-biot-dans-le-train-de-ma-vie/9782918883029-475x500-1.webp 1x,https://products-images.di-static.com/image/jean-pierre-biot-dans-le-train-de-ma-vie/9782918883029-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Noue Gavigné (Editions de la)|ISBN|978-2-918883-02-9|EAN|9782918883029|Format|Grand Format|Présentation|Broché|Nb. de pages|252 pages|Poids|0.416 Kg|Dimensions|16,0 cm × 24,0 cm × 1,8 cm;978-2-918883-02-9;Grand Format;Broché;252 pages;0.416 Kg;16,0 cm × 24,0 cm × 1,8 cm;
;NAN;9782384548156.0;Teufteuf le minot marseillais- Grand Format;Stéphane Harmand;;;Publishroom Factory;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livre-pod/teufteuf-le-minot-marseillais-9782384548156.html;['Livres', 'Littérature', 'Romans'];15,50 €;pas de prix ebook;https://products-images.di-static.com/image/publishroom-teufteuf-le-minot-marseillais/9782384548156-475x500-1.webp 1x,https://products-images.di-static.com/image/publishroom-teufteuf-le-minot-marseillais/9782384548156-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Publishroom Factory|ISBN|978-2-38454-815-6|EAN|9782384548156|Format|Grand Format|Présentation|Broché|Nb. de pages|208 pages|Poids|0.3 Kg|Dimensions|14,8 cm × 21,0 cm × 1,5 cm;978-2-38454-815-6;Grand Format;Broché;208 pages;0.3 Kg;14,8 cm × 21,0 cm × 1,5 cm;
RL;NON;9782365331258.0;Plexiglas- Grand Format;Antoine Philias;Romans français;M;Asphalte (Editions);FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/plexiglas-9782365331258.html;['Livres', 'Littérature', 'Romans'];21,00 €;9,99 €;https://products-images.di-static.com/image/antoine-philias-plexiglas/9782365331258-45x70-1.webp 1x,https://products-images.di-static.com/image/antoine-philias-plexiglas/9782365331258-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Asphalte (Editions)|ISBN|978-2-36533-125-8|EAN|9782365331258|Format|Grand Format|Présentation|Broché|Nb. de pages|230 pages|Poids|0.305 Kg|Dimensions|14,7 cm × 20,0 cm × 2,0 cm;978-2-36533-125-8;Grand Format;Broché;230 pages;0.305 Kg;14,7 cm × 20,0 cm × 2,0 cm;
RL;PREMIER ROMAN;9782382571088.0;Les nouveaux venus- Grand Format;Adèle Gascuel;Romans français;F;Hors-d'atteinte;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/les-nouveaux-venus-9782382571088.html;['Livres', 'Littérature', 'Romans'];19,00 €;11,99 €;https://products-images.di-static.com/image/adele-gascuel-les-nouveaux-venus/9782382571088-45x70-1.webp 1x,https://products-images.di-static.com/image/adele-gascuel-les-nouveaux-venus/9782382571088-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Hors-d'atteinte|ISBN|978-2-38257-108-8|EAN|9782382571088|Format|Grand Format|Présentation|Broché|Nb. de pages|215 pages|Poids|0.22 Kg|Dimensions|11,8 cm × 20,0 cm × 1,9 cm;978-2-38257-108-8;Grand Format;Broché;215 pages;0.22 Kg;11,8 cm × 20,0 cm × 1,9 cm;
RL;NON;9782494062238.0;Dans l'oeil de la tempête- Grand Format;Clémence Renard;Romans français;F;Fugue (Editions);FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/dans-l-oeil-de-la-tempete-9782494062238.html;['Livres', 'Littérature', 'Romans'];20,00 €;13,98 €;https://products-images.di-static.com/image/clemence-renard-dans-l-oeil-de-la-tempete/9782494062238-45x70-1.webp 1x,https://products-images.di-static.com/image/clemence-renard-dans-l-oeil-de-la-tempete/9782494062238-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Fugue (Editions)|ISBN|978-2-494062-23-8|EAN|9782494062238|Format|Grand Format|Présentation|Broché|Nb. de pages|256 pages|Poids|0.325 Kg|Dimensions|14,3 cm × 20,4 cm × 1,9 cm;978-2-494062-23-8;Grand Format;Broché;256 pages;0.325 Kg;14,3 cm × 20,4 cm × 1,9 cm;
RL;PREMIER ROMAN;9791030417395.0;La version- Grand Format;Debora Levyh;Romans français;F;Allia;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/la-version-9791030417395.html;['Livres', 'Littérature', 'Romans'];12,00 €;6,99 €;https://products-images.di-static.com/image/debora-levyh-la-version/9791030417395-45x70-1.webp 1x,https://products-images.di-static.com/image/debora-levyh-la-version/9791030417395-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Allia|Collection|Moyenne collection|ISBN|979-10-304-1739-5|EAN|9791030417395|Format|Grand Format|Présentation|Broché|Nb. de pages|124 pages|Poids|0.146 Kg|Dimensions|11,7 cm × 18,5 cm × 0,9 cm;979-10-304-1739-5;Grand Format;Broché;124 pages;0.146 Kg;11,7 cm × 18,5 cm × 0,9 cm;Moyenne collection
RL;NON;9782363391940.0;Vie et mort de Vernon Sullivan- Grand Format;Dimitri Kantcheloff;Romans français;M;Finitude Editions;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/vie-et-mort-de-vernon-sullivan-9782363391940.html;['Livres', 'Littérature', 'Romans'];17,50 €;11,99 €;https://products-images.di-static.com/image/dimitri-kantcheloff-vie-et-mort-de-vernon-sullivan/9782363391940-45x70-1.webp 1x,https://products-images.di-static.com/image/dimitri-kantcheloff-vie-et-mort-de-vernon-sullivan/9782363391940-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Finitude Editions|ISBN|978-2-36339-194-0|EAN|9782363391940|Format|Grand Format|Présentation|Broché|Nb. de pages|161 pages|Poids|0.205 Kg|Dimensions|13,5 cm × 20,0 cm × 1,4 cm;978-2-36339-194-0;Grand Format;Broché;161 pages;0.205 Kg;13,5 cm × 20,0 cm × 1,4 cm;
RL;PREMIER ROMAN;9782384312191.0;Mille hivers- Grand Format;Renaud de Chaumaray;Romans français;M;mot et le reste (Le);FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/mille-hivers-9782384312191.html;['Livres', 'Littérature', 'Romans'];19,00 €;12,99 €;https://products-images.di-static.com/image/renaud-de-chaumaray-mille-hivers/9782384312191-45x70-1.webp 1x,https://products-images.di-static.com/image/renaud-de-chaumaray-mille-hivers/9782384312191-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|mot et le reste (Le)|ISBN|978-2-38431-219-1|EAN|9782384312191|Format|Grand Format|Présentation|Broché|Nb. de pages|205 pages|Poids|0.282 Kg|Dimensions|14,7 cm × 21,0 cm × 1,8 cm;978-2-38431-219-1;Grand Format;Broché;205 pages;0.282 Kg;14,7 cm × 21,0 cm × 1,8 cm;
;NAN;9782815947770.0;Sa seule épouse- Grand Format;Peace Adzo Medie;;;Aube (Editions de l');NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/sa-seule-epouse-9782815947770.html;['Livres', 'Littérature', 'Romans'];22,00 €;14,99 €;https://products-images.di-static.com/image/peace-adzo-medie-sa-seule-epouse/9782815947770-45x70-1.webp 1x,https://products-images.di-static.com/image/peace-adzo-medie-sa-seule-epouse/9782815947770-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Aube (Editions de l')|Collection|Regards croisés|ISBN|978-2-8159-4777-0|EAN|9782815947770|Format|Grand Format|Présentation|Broché|Nb. de pages|304 pages|Poids|0.302 Kg|Dimensions|14,0 cm × 22,0 cm × 1,9 cm;978-2-8159-4777-0;Grand Format;Broché;304 pages;0.302 Kg;14,0 cm × 22,0 cm × 1,9 cm;Regards croisés
;NAN;9791027904617.0;Cow-boy noir  - Une autobiographie- Grand Format;Nate Love;;;Anacharsis;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/cow-boy-noir-9791027904617.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/nate-love-cow-boy-noir/9791027904617-475x500-1.webp 1x,https://products-images.di-static.com/image/nate-love-cow-boy-noir/9791027904617-475x500-2.webp 2x;Date de parution|22/08/2023|Editeur|Anacharsis|Collection|Famagouste|ISBN|979-10-279-0461-7|EAN|9791027904617|Format|Grand Format|Présentation|Broché|Nb. de pages|192 pages|Poids|0.215 Kg|Dimensions|12,6 cm × 20,2 cm × 1,5 cm;979-10-279-0461-7;Grand Format;Broché;192 pages;0.215 Kg;12,6 cm × 20,2 cm × 1,5 cm;Famagouste
RL;PREMIER ROMAN;9782940701629.0;Rhapsodie balkanique- Grand Format;Maria Kassimova-Moisset;Romans étrangers;F;Editions des Syrtes;BULGARIE;50.8395311;4.3821461;EUROPE;BULGARE;Marie Vrinat;2023-08-22;August;2023.0;https://www.decitre.fr/livres/rhapsodie-balkanique-9782940701629.html;['Livres', 'Littérature', 'Romans'];21,00 €;13,99 €;https://products-images.di-static.com/image/maria-kassimova-moisset-rhapsodie-balkanique/9782940701629-45x70-1.webp 1x,https://products-images.di-static.com/image/maria-kassimova-moisset-rhapsodie-balkanique/9782940701629-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Editions des Syrtes|ISBN|978-2-940701-62-9|EAN|9782940701629|Format|Grand Format|Présentation|Broché|Nb. de pages|258 pages|Poids|0.322 Kg|Dimensions|14,0 cm × 22,5 cm × 1,9 cm;978-2-940701-62-9;Grand Format;Broché;258 pages;0.322 Kg;14,0 cm × 22,5 cm × 1,9 cm;
RL;NON;9782809716368.0;Eau de rose & Soda bread- Grand Format;Marsha Mehran;Romans étrangers;F;Philippe Picquier;IRAN;2.9368696;115.4443356;ASIA;ANGLAIS;Santiago Artozqui;2023-08-22;August;2023.0;https://www.decitre.fr/livres/eau-de-rose-soda-bread-9782809716368.html;['Livres', 'Littérature', 'Romans'];22,00 €;13,99 €;https://products-images.di-static.com/image/marsha-mehran-eau-de-rose-soda-bread/9782809716368-45x70-1.webp 1x,https://products-images.di-static.com/image/marsha-mehran-eau-de-rose-soda-bread/9782809716368-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Philippe Picquier|ISBN|978-2-8097-1636-8|EAN|9782809716368|Format|Grand Format|Présentation|Broché|Nb. de pages|374 pages|Poids|0.44 Kg|Dimensions|13,2 cm × 20,6 cm × 2,7 cm;978-2-8097-1636-8;Grand Format;Broché;374 pages;0.44 Kg;13,2 cm × 20,6 cm × 2,7 cm;
RL;NON;9782374913230.0;MURmur- Grand Format;Caroline Deyns;Romans français;F;Quidam Editeur;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/murmur-9782374913230.html;['Livres', 'Littérature', 'Romans'];19,00 €;12,99 €;https://products-images.di-static.com/image/caroline-deyns-murmur/9782374913230-45x70-1.webp 1x,https://products-images.di-static.com/image/caroline-deyns-murmur/9782374913230-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Quidam Editeur|Collection|Made in Europe|ISBN|978-2-37491-323-0|EAN|9782374913230|Format|Grand Format|Présentation|Broché|Nb. de pages|162 pages|Poids|0.225 Kg|Dimensions|14,0 cm × 21,0 cm × 1,4 cm;978-2-37491-323-0;Grand Format;Broché;162 pages;0.225 Kg;14,0 cm × 21,0 cm × 1,4 cm;Made in Europe
RL;NON;9782390700647.0;Mon nom ne vous dira rien- Grand Format;Jean-Luc Outers;Romans français;M;Impressions nouvelles (Les);FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-22;August;2023.0;https://www.decitre.fr/livres/mon-nom-ne-vous-dira-rien-9782390700647.html;['Livres', 'Littérature', 'Romans'];18,00 €;9,99 €;https://products-images.di-static.com/image/jean-luc-outers-mon-nom-ne-vous-dira-rien/9782390700647-45x70-1.webp 1x,https://products-images.di-static.com/image/jean-luc-outers-mon-nom-ne-vous-dira-rien/9782390700647-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Impressions nouvelles (Les)|ISBN|978-2-39070-064-7|EAN|9782390700647|Format|Grand Format|Présentation|Broché|Nb. de pages|208 pages|Poids|0.288 Kg|Dimensions|14,4 cm × 21,0 cm × 1,7 cm;978-2-39070-064-7;Grand Format;Broché;208 pages;0.288 Kg;14,4 cm × 21,0 cm × 1,7 cm;
;NAN;9782494289208.0;Ceux qui ne meurent jamais- Grand Format;Dana Grigorcea;;;Les Argonautes;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livres/ceux-qui-ne-meurent-jamais-9782494289208.html;['Livres', 'Littérature', 'Romans'];22,90 €;15,99 €;https://products-images.di-static.com/image/dana-grigorcea-ceux-qui-ne-meurent-jamais/9782494289208-45x70-1.webp 1x,https://products-images.di-static.com/image/dana-grigorcea-ceux-qui-ne-meurent-jamais/9782494289208-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Les Argonautes|ISBN|978-2-494289-20-8|EAN|9782494289208|Format|Grand Format|Présentation|Broché|Nb. de pages|261 pages|Poids|0.29 Kg|Dimensions|14,2 cm × 21,0 cm × 1,7 cm;978-2-494289-20-8;Grand Format;Broché;261 pages;0.29 Kg;14,2 cm × 21,0 cm × 1,7 cm;
;NAN;9781739458300.0;La fausse preuve plant à la mairie- Grand Format;Haydn Thomas;;;Resarton Books;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livre-pod/la-fausse-preuve-plant-a-la-mairie-9781739458300.html;['Livres', 'Littérature', 'Romans'];8,00 €;pas de prix ebook;https://products-images.di-static.com/image/resarton-books-la-fausse-preuve-plant-a-la-mairie/9781739458300-45x70-1.webp 1x,https://products-images.di-static.com/image/resarton-books-la-fausse-preuve-plant-a-la-mairie/9781739458300-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Resarton Books|ISBN|978-1-7394583-0-0|EAN|9781739458300|Format|Grand Format|Présentation|Broché|Nb. de pages|238 pages|Poids|0.301 Kg|Dimensions|10,8 cm × 17,8 cm × 1,2 cm;978-1-7394583-0-0;Grand Format;Broché;238 pages;0.301 Kg;10,8 cm × 17,8 cm × 1,2 cm;
;NAN;9781739524029.0;L'empoisonnement avant les garçons gallois  - Essai- Grand Format;Haydn Thomas;;;Resarton;NAN;46.3144754;11.0480288;NAN;;;2023-08-22;August;2023.0;https://www.decitre.fr/livre-pod/l-empoisonnement-avant-les-garcons-gallois-9781739524029.html;['Livres', 'Littérature', 'Romans'];17,50 €;pas de prix ebook;https://products-images.di-static.com/image/resarton-books-l-empoisonnement-avant-les-garcons-gallois/9781739524029-45x70-1.webp 1x,https://products-images.di-static.com/image/resarton-books-l-empoisonnement-avant-les-garcons-gallois/9781739524029-45x70-2.webp 2x;Date de parution|22/08/2023|Editeur|Resarton|ISBN|978-1-7395240-2-9|EAN|9781739524029|Format|Grand Format|Présentation|Broché|Nb. de pages|198 pages|Poids|0.501 Kg|Dimensions|13,8 cm × 21,6 cm × 1,2 cm;978-1-7395240-2-9;Grand Format;Broché;198 pages;0.501 Kg;13,8 cm × 21,6 cm × 1,2 cm;
