RL;PREMIER_ROMAN;EAN;titre;auteur;TYPES;GENRE;Editeur;PAYS;latitude;longitude;CONTINENT;Traduit de;Traduit par;Date de parution;MOIS;ANNEE_PUBLICATION;url;categorie;prix_gf;prix_ebook;couverture;caracteristiques;ISBN;Format;Présentation;Nb. de pages;Poids;Dimensions;Collection
RL;NON;9782824622439.0;Le journal de ma vie- Grand Format;Kate Clayborn;Romans étrangers;F;City Editions;ETATS-UNIS;39.7837304;-100.445882;NORTH AMERICA;ANGLAIS;Raphaëlle O'Brien;2023-08-30;August;2023.0;https://www.decitre.fr/livres/le-journal-de-ma-vie-9782824622439.html;['Livres', 'Littérature', 'Romans'];19,00 €;12,99 €;https://products-images.di-static.com/image/kate-clayborn-le-journal-de-ma-vie/9782824622439-475x500-1.webp 1x,https://products-images.di-static.com/image/kate-clayborn-le-journal-de-ma-vie/9782824622439-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|City Editions|Collection|Romans|ISBN|978-2-8246-2243-9|EAN|9782824622439|Format|Grand Format|Présentation|Broché|Nb. de pages|397 pages|Poids|0.44 Kg|Dimensions|14,7 cm × 22,5 cm × 2,7 cm;978-2-8246-2243-9;Grand Format;Broché;397 pages;0.44 Kg;14,7 cm × 22,5 cm × 2,7 cm;Romans
;NAN;9782290393017.0;Slammed  - Tome 1, Sans regret- Grand Format;Colleen Hoover;;;J'ai lu;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/slammed-9782290393017.html;['Livres', 'Littérature', 'Romans'];18,50 €;12,99 €;https://products-images.di-static.com/image/colleen-hoover-slammed/9782290393017-45x70-1.webp 1x,https://products-images.di-static.com/image/colleen-hoover-slammed/9782290393017-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|J'ai lu|ISBN|978-2-290-39301-7|EAN|9782290393017|Format|Grand Format|Présentation|Broché|Nb. de pages|320 pages|Poids|0.3 Kg|Dimensions|13,1 cm × 19,1 cm × 2,4 cm;978-2-290-39301-7;Grand Format;Broché;320 pages;0.3 Kg;13,1 cm × 19,1 cm × 2,4 cm;
RL;NON;9782382846469.0;Ecume- Grand Format;Véronique Bergen;Romans français;F;Equateurs;FRANCE;46.603354;1.8883335;EUROPE;VF;-;2023-08-30;August;2023.0;https://www.decitre.fr/livres/ecume-9782382846469.html;['Livres', 'Littérature', 'Romans'];21,90 €;14,99 €;https://products-images.di-static.com/image/veronique-bergen-ecume/9782382846469-45x70-1.webp 1x,https://products-images.di-static.com/image/veronique-bergen-ecume/9782382846469-45x70-2.webp 2x;Date de parution|30/08/2023|Editeur|Equateurs|ISBN|978-2-38284-646-9|EAN|9782382846469|Format|Grand Format|Présentation|Broché|Nb. de pages|407 pages|Poids|0.45 Kg|Dimensions|14,0 cm × 20,5 cm × 2,6 cm;978-2-38284-646-9;Grand Format;Broché;407 pages;0.45 Kg;14,0 cm × 20,5 cm × 2,6 cm;
RL;PREMIER ROMAN;9782743660482.0;Père éperdu- Grand Format;Daniel Gustafsson;Romans étrangers;M;Rivages;SUEDE;59.6749712;14.5208584;EUROPE;SUEDOIS;Jean-Baptiste Bardin;2023-08-30;August;2023.0;https://www.decitre.fr/livres/pere-eperdu-9782743660482.html;['Livres', 'Littérature', 'Romans'];21,00 €;15,99 €;https://products-images.di-static.com/image/daniel-gustafsson-pere-eperdu/9782743660482-475x500-1.webp 1x;Date de parution|30/08/2023|Editeur|Rivages|ISBN|978-2-7436-6048-2|EAN|9782743660482|Format|Grand Format|Présentation|Broché|Nb. de pages|240 pages|Poids|0.302 Kg|Dimensions|13,9 cm × 20,4 cm × 2,0 cm;978-2-7436-6048-2;Grand Format;Broché;240 pages;0.302 Kg;13,9 cm × 20,4 cm × 2,0 cm;
;NAN;9782322499465.0;L'avion vient d'Afrique- Grand Format;Patrick Lushima Utshudiema;;;Books on Demand;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livre-pod/l-avion-vient-d-afrique-9782322499465.html;['Livres', 'Littérature', 'Romans'];15,00 €;pas de prix ebook;https://products-images.di-static.com/image/sodis-l-avion-vient-d-afrique/9782322499465-475x500-1.webp 1x,https://products-images.di-static.com/image/sodis-l-avion-vient-d-afrique/9782322499465-475x500-2.webp 2x;Date de parution|30/08/2023|Editeur|Books on Demand|ISBN|978-2-322-49946-5|EAN|9782322499465|Format|Grand Format|Présentation|Broché|Nb. de pages|196 pages|Poids|0.214 Kg|Dimensions|12,0 cm × 19,0 cm × 1,3 cm;978-2-322-49946-5;Grand Format;Broché;196 pages;0.214 Kg;12,0 cm × 19,0 cm × 1,3 cm;
;NAN;9791032922842.0;Une vie de cinéma- Grand Format;Jean-Louis Livi;;;Observatoire (Editions de l');NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/une-vie-de-cinema-9791032922842.html;['Livres', 'Littérature', 'Romans'];24,00 €;pas de prix ebook;https://products-images.di-static.com/image/dominique-besnehard-artmedia/9782290388594-200x303-1.webp 1x,https://products-images.di-static.com/image/dominique-besnehard-artmedia/9782290388594-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Observatoire (Editions de l')|ISBN|979-10-329-2284-2|EAN|9791032922842|Format|Grand Format|Présentation|Broché|Poids|0.001 Kg;979-10-329-2284-2;Grand Format;Broché;;0.001 Kg;;
;NAN;9782382844823.0;Mon grand tour- Grand Format;Samuel Adrian;;;Equateurs;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/mon-grand-tour-9782382844823.html;['Livres', 'Littérature', 'Romans'];20,00 €;pas de prix ebook;https://products-images.di-static.com/image/samuel-adrian-une-annee-sur-la-route/9782382843413-200x303-2.webp 2x,https://products-images.di-static.com/image/samuel-adrian-une-annee-sur-la-route/9782382843413-200x303-1.webp 1x;Date de parution|30/08/2023|Editeur|Equateurs|ISBN|978-2-38284-482-3|EAN|9782382844823|Format|Grand Format|Présentation|Broché;978-2-38284-482-3;Grand Format;Broché;;;;
;NAN;9791096739141.0;Emma- Grand Format;Jane Austen;;;Tibert;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/emma-9791096739141.html;['Livres', 'Littérature', 'Romans'];35,00 €;pas de prix ebook;https://products-images.di-static.com/image/jane-austen-orgueil-et-prejuges-texte-abrege/9782013231541-200x303-1.webp 1x,https://products-images.di-static.com/image/jane-austen-orgueil-et-prejuges-texte-abrege/9782013231541-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Tibert|Collection|Romans illustrés|ISBN|979-10-96739-14-1|EAN|9791096739141|Format|Grand Format|Présentation|Relié|Nb. de pages|576 pages|Poids|1 Kg|Dimensions|17,8 cm × 24,8 cm × 4,0 cm;979-10-96739-14-1;Grand Format;Relié;576 pages;1 Kg;17,8 cm × 24,8 cm × 4,0 cm;Romans illustrés
;NAN;9782406158202.0;Les 7 livres de Diane- Grand Format;Jorge de Montemayor;;;Classiques Garnier;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/les-7-livres-de-diane-9782406158202.html;['Livres', 'Littérature', 'Romans'];35,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-1.webp 1x,https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Textes de la Renaissance|ISBN|978-2-406-15820-2|EAN|9782406158202|Format|Grand Format|Présentation|Broché|Nb. de pages|276 pages;978-2-406-15820-2;Grand Format;Broché;276 pages;;;Textes de la Renaissance
;NAN;9782812455988.0;Les 7 livres de Diane- Grand Format;Jorge de Montemayor;;;Classiques Garnier;NAN;46.3144754;11.0480288;NAN;;;2023-08-30;August;2023.0;https://www.decitre.fr/livres/les-7-livres-de-diane-9782812455988.html;['Livres', 'Littérature', 'Romans'];84,00 €;pas de prix ebook;https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-1.webp 1x,https://products-images.di-static.com/image/hachette-la-diane-de-montemayor-mise-en-nouveau-langage/9782012890879-200x303-2.webp 2x;Date de parution|30/08/2023|Editeur|Classiques Garnier|Collection|Textes de la Renaissance|ISBN|978-2-8124-5598-8|EAN|9782812455988|Format|Grand Format|Présentation|Relié|Nb. de pages|276 pages;978-2-8124-5598-8;Grand Format;Relié;276 pages;;;Textes de la Renaissance
