EAN,Dimensions
9782494466203.0,"14,1 cm × 20,5 cm × 1,5 cm"
9782371024106.0,"15,0 cm × 23,5 cm × 5,0 cm"
9782283037393.0,"14,0 cm × 20,5 cm × 3,5 cm"
9782221259719.0,"13,6 cm × 21,5 cm × 2,3 cm"
9782259317085.0,"14,3 cm × 19,0 cm × 2,1 cm"
9782260056041.0,"14,0 cm × 20,7 cm × 1,6 cm"
9782350878966.0,"14,0 cm × 20,5 cm × 1,7 cm"
9782367190952.0,"14,2 cm × 21,7 cm × 2,5 cm"
9782749176550.0,"12,6 cm × 20,2 cm × 2,1 cm"
9782749934884.0,"14,2 cm × 22,7 cm × 3,0 cm"
9782491560652.0,"11,0 cm × 21,0 cm × 0,2 cm"
9782322499540.0,"13,5 cm × 21,5 cm × 0,3 cm"
9782258203495.0,"14,0 cm × 22,5 cm × 3,0 cm"
9782749173047.0,"14,0 cm × 22,0 cm × 4,2 cm"
9782258201569.0,"15,2 cm × 22,2 cm × 2,8 cm"
9782365697798.0,"14,1 cm × 22,5 cm × 1,5 cm"
9782752912473.0,"14,0 cm × 20,5 cm × 2,9 cm"
9782221270561.0,"14,0 cm × 21,8 cm × 1,9 cm"
9782809846683.0,"14,2 cm × 22,7 cm × 3,1 cm"
9782258199958.0,"13,7 cm × 18,7 cm × 1,7 cm"
9782359053807.0,"14,2 cm × 22,5 cm × 1,8 cm"
9782351782873.0,"14,0 cm × 20,5 cm × 3,1 cm"
9782355849831.0,"14,5 cm × 20,4 cm × 3,0 cm"
9782072999598.0,"14,0 cm × 20,5 cm × 2,0 cm"
9782848054919.0,"14,0 cm × 18,3 cm × 1,3 cm"
9791037112453.0,"14,0 cm × 20,5 cm × 1,8 cm"
9782258205512.0,"14,2 cm × 22,7 cm × 3,2 cm"
9782259316101.0,"12,2 cm × 18,7 cm × 1,3 cm"
9782259317009.0,"13,6 cm × 21,0 cm × 2,8 cm"
9782714476142.0,"14,0 cm × 22,7 cm × 1,9 cm"
9782714499141.0,"14,2 cm × 22,7 cm × 3,0 cm"
9782749178165.0,"14,1 cm × 21,0 cm × 2,0 cm"
9782889442287.0,"14,0 cm × 21,2 cm × 3,3 cm"
9782914823296.0,"14,0 cm × 20,5 cm × 1,1 cm"
9791096415588.0,"14,0 cm × 20,5 cm × 2,0 cm"
9791096415595.0,"14,0 cm × 20,5 cm × 0,7 cm"
9782221259696.0,"13,7 cm × 21,5 cm × 2,0 cm"
9782384820313.0,"14,5 cm × 22,0 cm × 2,3 cm"
9782384820344.0,"14,7 cm × 22,2 cm × 2,2 cm"
9782356982445.0,"14,0 cm × 20,5 cm × 1,1 cm"
9782875990785.0,"14,0 cm × 21,0 cm × 1,6 cm"
9791092173765.0,"15,0 cm × 20,0 cm × 2,4 cm"
9791096673421.0,"14,0 cm × 20,0 cm × 2,5 cm"
9782490855568.0,"12,0 cm × 21,0 cm × 1,0 cm"
9782493699046.0,"13,0 cm × 20,0 cm × 2,2 cm"
9782491221102.0,"14,5 cm × 21,0 cm × 1,1 cm"
9782370734709.0,"14,2 cm × 20,7 cm × 1,7 cm"
9782847425048.0,"14,2 cm × 20,7 cm × 2,0 cm"
9782358879996.0,"12,0 cm × 20,0 cm × 1,6 cm"
9782259315371.0,"13,7 cm × 21,2 cm × 3,4 cm"
9782382460924.0,"14,2 cm × 20,0 cm × 3,8 cm"
9782749954721.0,"14,2 cm × 22,6 cm × 2,8 cm"
9782807004023.0,"14,8 cm × 21,0 cm × 1,4 cm"
9782259310772.0,
9782322501298.0,"14,8 cm × 21,0 cm × 1,8 cm"
9782268109367.0,"13,0 cm × 20,5 cm × 1,5 cm"
9782330182427.0,"14,7 cm × 24,0 cm × 2,5 cm"
9782246831242.0,"14,3 cm × 20,6 cm × 2,3 cm"
9782246834977.0,"12,1 cm × 18,5 cm × 1,5 cm"
9782709671279.0,"13,2 cm × 20,5 cm × 1,7 cm"
9782709671385.0,"14,0 cm × 22,5 cm × 3,0 cm"
9782755669053.0,"13,0 cm × 20,5 cm × 4,8 cm"
9791032927823.0,"14,2 cm × 20,0 cm × 3,2 cm"
9782207163887.0,"14,2 cm × 20,5 cm × 3,0 cm"
9782330182267.0,"11,7 cm × 21,8 cm × 1,3 cm"
9782330182274.0,"11,6 cm × 21,7 cm × 1,7 cm"
9782743660505.0,"14,0 cm × 20,6 cm × 1,6 cm"
9782080411556.0,"12,9 cm × 20,7 cm × 1,7 cm"
9782080419903.0,"13,0 cm × 20,6 cm × 2,1 cm"
9782080425928.0,"14,5 cm × 22,0 cm × 2,2 cm"
9782246835332.0,"14,0 cm × 20,6 cm × 3,0 cm"
9782213726335.0,"13,5 cm × 21,5 cm × 2,0 cm"
9782824622392.0,"14,7 cm × 22,4 cm × 2,6 cm"
9782824622422.0,"14,5 cm × 22,5 cm × 2,0 cm"
9782702180761.0,"13,5 cm × 21,5 cm × 1,6 cm"
9782709672085.0,"13,7 cm × 21,5 cm × 1,7 cm"
9782709672672.0,"13,0 cm × 20,5 cm × 1,5 cm"
9782383110040.0,"13,5 cm × 20,0 cm × 2,4 cm"
9791032923849.0,"14,0 cm × 20,0 cm × 2,3 cm"
9782207165553.0,"14,0 cm × 20,3 cm × 4,0 cm"
9782207168950.0,"14,4 cm × 20,4 cm × 1,9 cm"
9782755665055.0,"13,0 cm × 20,5 cm × 4,0 cm"
9782812624896.0,"14,2 cm × 20,6 cm × 1,8 cm"
9782360841998.0,"14,2 cm × 19,1 cm × 2,4 cm"
9782743660642.0,"14,1 cm × 20,6 cm × 1,9 cm"
9782080428431.0,"13,7 cm × 21,1 cm × 1,9 cm"
9782213718064.0,"13,5 cm × 21,5 cm × 2,1 cm"
9782213725642.0,"13,5 cm × 21,5 cm × 2,3 cm"
9782213726434.0,"13,0 cm × 20,0 cm × 2,0 cm"
9782213726441.0,"13,0 cm × 20,0 cm × 2,8 cm"
9782213726458.0,"13,0 cm × 20,0 cm × 2,0 cm"
9791033914181.0,"14,0 cm × 20,5 cm × 1,8 cm"
9782280473651.0,"13,0 cm × 20,5 cm × 2,7 cm"
9782381400365.0,"12,7 cm × 19,5 cm × 2,2 cm"
9782501171847.0,"14,6 cm × 21,4 cm × 2,8 cm"
9782080415400.0,"14,5 cm × 22,0 cm × 3,0 cm"
9782080416025.0,"13,0 cm × 20,5 cm × 2,0 cm"
9782376973911.0,"14,4 cm × 21,0 cm × 1,7 cm"
9782740325254.0,"15,0 cm × 22,0 cm × 2,0 cm"
9791032927977.0,"14,2 cm × 20,0 cm × 1,7 cm"
9791032928394.0,"14,1 cm × 20,0 cm × 2,0 cm"
9782207176672.0,"14,3 cm × 20,6 cm × 2,0 cm"
9782330182182.0,"12,5 cm × 19,0 cm × 1,3 cm"
9782330182281.0,"11,5 cm × 21,7 cm × 1,5 cm"
9782226480736.0,"14,2 cm × 20,6 cm × 1,8 cm"
9782226486486.0,"14,0 cm × 20,5 cm × 2,1 cm"
9782080429773.0,"13,6 cm × 21,0 cm × 1,5 cm"
9782246816935.0,"13,0 cm × 20,5 cm × 1,4 cm"
9782213720715.0,"13,5 cm × 21,5 cm × 2,5 cm"
9782213725659.0,"13,5 cm × 21,5 cm × 1,1 cm"
9782234095090.0,"13,8 cm × 21,6 cm × 2,7 cm"
9782378153175.0,"14,0 cm × 21,0 cm × 2,7 cm"
9782702184110.0,"15,3 cm × 23,5 cm × 3,2 cm"
9782702189023.0,"13,5 cm × 21,5 cm × 2,3 cm"
9791033914532.0,"14,0 cm × 20,5 cm × 2,3 cm"
9782280490337.0,"13,0 cm × 20,5 cm × 4,4 cm"
